"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"393","Turner","Evan","PHI",12.1,0.035,-2.3,-0.3
"394","Young","Thaddeus","PHI",18.2,0.136,1.2,2.1
"395","Hawes","Spencer","PHI",16,0.096,-0.5,0.9
"396","Wright","Dorell","PHI",16,0.132,2.6,2.1
"397","Allen","Lavoy","PHI",11.5,0.072,-3.3,-0.6
"398","Young","Nick","PHI",13.3,0.079,-0.7,0.5
"399","Wilkins","Damien","PHI",12.5,0.083,-2.2,-0.1
"400","Richardson","Jason","PHI",12.6,0.07,-0.5,0.4
"401","Ivey","Royal","PHI",8.1,0.066,-2.8,-0.1
"402","Moultrie","Arnett","PHI",16.7,0.149,-1.2,0.1
"403","Brown","Kwame","PHI",8.8,0.071,-4.9,-0.2
"404","Pargo","Jeremy","PHI",8.4,0.006,-4.4,-0.1
"405","Wayns","Maalik","PHI",1.8,-0.147,-12.4,-0.4
"406","Jenkins","Charles","PHI",8.6,0.021,-4,-0.1
"407","Holiday","Justin","PHI",7.6,-0.042,-5,-0.1
"408","Mack","Shelvin","PHI",-6.4,-0.348,-17.9,0
"409","Dragić","Goran","PHO",17.5,0.106,1.4,2.2
"410","Scola","Luis","PHO",16.7,0.096,-0.5,0.8
"411","Dudley","Jared","PHO",14.9,0.106,0.6,1.5
"412","Tucker","P.J.","PHO",11.6,0.074,-1.5,0.2
"413","Gortat","Marcin","PHO",15.4,0.086,-0.5,0.7
"414","Morris","Markieff","PHO",12.6,0.044,-1.9,0
"415","Beasley","Michael","PHO",10.8,-0.047,-4.7,-1.1
"416","Brown","Shannon","PHO",13.1,0.041,-1.6,0.2
"417","O'Neal","Jermaine","PHO",16.7,0.092,-1.3,0.2
"418","Johnson","Wesley","PHO",10.3,0,-3.3,-0.3
"419","Telfair","Sebastian","PHO",10.9,0.042,-1.7,0.1
"420","Marshall","Kendall","PHO",7.8,-0.012,-5.2,-0.6
"421","Morris","Marcus","PHO",8.6,-0.022,-4.4,-0.2
